Category,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04
electronics & accessories,205757.96,187693.79,234842.65,221068.6,229114.25,233079.16,307385.06,253179.34,255571.84,242282.36,417749.99,387016.02,277708.7,260060.08,281861.36,249323.32,294875.88,243582.51,392713.7,307004.91,236639.01,277831.53,452993.92,443623.46,310133.98,270389.78,301493,297966.98,361796.36,315417.54,543820.46,357962.34,369452.82,340250.94,578799.52,605895.07,364775.59,320511.92,390489.09,386880.29,443697.34,464323.27,454237.59,471228.06,458575.55,656217.23,703331.56,608562.5,482299.79,414800.72,475704.63,391673.66
insurance,0,11.33,58.94,6.05,0,5.99,0,0,38.38,73.39,21.99,0,19.72,19.82,19.12,0,0,0,0,65.11,0,6.17,25.16,221.66,218.51,32.28,216.5,217.97,438.91,217.86,105.58,253.41,250.93,132.94,350.9,1905.75,186.81,81.95,79.97,262.81,365.79,113.74,0,78.07,33.95,855.49,1186.27,164.85,258.33,284.91,1254.27,956.72
apparel & accessories,60119.93,53579.19,62882.32,60052.47,69816.3,72179.1,71998.55,66525.9,58607.45,86690.91,90156.47,106801.73,71918.34,63235.01,78434.81,76216.59,79041.01,77630.54,87096.83,82430.54,77771.41,109797.56,107064.05,120804.07,83467.65,82278.79,87830.95,95348.03,101144.67,104245.57,115555.59,106608.68,108496.38,150714.04,132428.25,157415.67,104623.23,103237.24,71892.4,66251.5,96966.58,113465.13,107542.35,103006.32,107345.92,157704.68,143954.45,171636.04,119790.17,108825.32,130855.15,116395.74
other,33182.27,30282.13,33304.93,31930.72,32251.24,33134.44,43669.36,39211.89,35279.83,43585,59243.88,56057.4,45955.46,38925.68,48401.43,46884.59,48809.97,48954.03,64554.67,45382.73,43699.34,46351.11,69679.95,63447.99,49744.81,41708.28,58663.35,49567.2,57013.41,50584.99,82050.33,53686.08,51857.51,54636.51,66541.25,63127.42,53795.11,50169.69,79807.38,81367.66,75720.92,71865.9,70653.53,69148.5,59062.49,84040.64,83103.12,87067.57,77995.54,64443.27,78480.26,81110.03
appliances,7817.81,8269.8,5764.81,9112.63,9038.97,5984.09,10904.17,11668.76,8555.25,9733,18298.19,13488.86,9606.67,8926.78,10303.51,9384.38,12039.48,8580.28,16960.4,12612.42,9430.79,13533.08,28544.09,16384.91,15324.72,11785.26,15789.98,14790.61,15279.04,14737.27,34614.92,18068.29,16004.04,20330.93,31111.21,41694.67,22304.68,22147.18,26249.59,38010.43,30088.54,33063.5,33548.62,34255.73,31867.68,59662.85,68657.61,43484.22,38985.73,35721.24,42516.8,54825.64
payments,0,0,0,0,0,0,19.99,0,0,0,0,0,0,0,0,0,0,0,8.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45,0,16.9,0,0,0,0,0,0,0,0,0
pet supplies,22761.31,22791.94,25014.61,27604.79,26873.65,26155.65,34084.22,31995.47,26911.13,33876.92,33515.2,39600.45,34354.27,32544.22,37207.86,37837.69,40514.2,37304.7,41025.44,39795.83,40113.02,41850.74,43545.65,49803.35,41995,36830.16,42161.39,43823.08,49011.76,48635.99,48507.09,51350.98,51300.58,53412.03,59748.8,61429.29,54169.34,56780.63,70332.69,70463.79,73408.58,73241.16,74886.38,73978.06,69047.62,76191.37,82128.7,85850.21,84571.73,76406.33,88269.02,84892.81
health & beauty,118411.93,115121.01,126528.13,122796.86,140673.96,128681.49,159395.72,140556.12,139349.69,150201.65,173370.11,188042.73,170495.34,156878.39,165532.31,169115.66,186232.73,174328.13,207947.33,183887.83,179775.61,195845.06,212112.89,228762.37,210622.9,187711.52,214295.06,206012.21,228101.63,214769.8,256904.07,224485.84,223703.46,245924.22,266009.56,292641.62,273792.75,266103.38,362825.63,318802.52,327258.28,309984.67,323165.3,311879.87,292165.1,329463.05,349244.57,367214.11,342548.47,305412.67,350695.59,309106.87
music,6035.48,1638.21,4557.41,3424.66,2328.96,1884.17,3506.01,5249.41,3667.19,4207.85,7868.05,7168.27,2960.88,2682.68,3765.54,4139.11,3925.66,2986.87,7070.69,2902.23,2853.14,2055.07,3317.61,4653.89,2684.31,2653.71,3329.8,4077.58,1877.96,3013.67,2811.67,3078.34,1224.9,1952.15,3189.56,4961.21,2660.45,2327.84,3799.42,2700.3,2936.53,3308.51,3927.94,3175.44,2538.1,3231.13,5294.92,6801.15,655.95,925.28,2577.99,3540.14
home & kitchen,113245.11,99537.39,126913.2,122617.33,134061.93,146016.71,173348.48,158962.47,147133.08,146221.93,203378.22,227377.86,152135.01,142153.56,153456.83,163918.3,208244.64,186635.42,247113.5,195403.36,164995.33,175545.53,248463.76,267331.4,180488.25,164674.7,186487.29,188547.85,229907.75,230108.82,293641.75,219800.94,223621.4,220379.65,279102.22,338575.4,229115.79,211101.3,246261.23,299043.59,375930.14,351950.1,369790.29,375045.07,342633.46,372938.07,411767.97,428735.38,351892.17,285049.04,390106.57,369750.93
gift cards,2167.65,4151.04,2577.84,2846.84,3036.95,4450.95,4431.3,3696.82,2200.91,4127.95,10583.05,31722.61,2391.63,2404.91,2698.78,3964.15,3356.12,4369.7,8403.64,3557.24,2842.61,4785.7,17219.95,30343.37,4600.58,3505.51,3756.77,3022.79,4555.41,7503,14606.39,2994.05,2808.4,7004.64,10525.54,42539.79,4965.95,3623.86,3113.48,5307.64,3652.51,4021.36,4857.22,4155.78,4463.71,5939.67,11826.71,35264.04,4343.9,3384.72,4214.78,2360.56
jewelry & watches,7237.88,9402.8,5062.97,8111.49,6578.91,6603.99,6713.28,7490.27,6070.6,7338.42,11777.96,19536.88,7308.44,7401.47,6647.74,18037.48,9798.85,7817.15,10246.68,8180.79,6907.91,6816.64,10617.06,18535.41,7250.72,10112.45,9579.08,9632.44,9678.41,9117.56,9437.1,9506.6,12557.02,9367.18,14407.18,26842.88,10952.01,11805.77,7753.38,12000.36,10600,10423.79,11290.76,10496.05,13662.37,12910.13,12963.32,26629.82,13774.04,12391.1,13571.2,14783.39
baby products,15397.19,13903.4,15123.03,15437.5,17203.13,13433.61,20072.51,15794.22,18033.27,15700.05,23531.43,18532.39,19685.49,16007.4,18848.84,19667.31,20384,19548.93,20438.11,21768.66,22551.3,21967.89,26791.05,24255.53,20755.52,21773.1,25209.33,25262.62,27605.96,26557.59,32475.04,25463.47,27747.57,24455.18,29234.66,30711.35,31260.56,27541.15,28764.22,31114.54,32235.66,32250.07,34136.14,35729.78,31630.78,40828.2,38644.44,34695.96,36608.22,42534.47,40270.15,41876.2
magazines,85.98,109.81,142.43,256.96,144.86,49.35,133.63,120.15,40.98,131.95,302.58,235.85,273.6,165.24,202.72,239.04,170.54,147.45,254.45,86.34,95.05,208.98,180.94,526.78,167.61,241.43,140.53,88.16,202.88,326.86,151.63,272.97,161.7,260.94,386.9,407.02,114.87,299.84,209.95,252.72,416.85,405.01,317.68,213.95,338.39,374.51,714.35,275.48,130.44,242.42,332.39,517.46
toys & games,18212.21,19045.41,22948.61,22847.46,24569.69,20675.75,23231.46,29153.8,22231.21,28699.23,65542.84,86991.78,21668.84,22897.43,27540.02,25671.83,27069.82,27057.49,34228.58,27931.48,29634.42,31297.73,74019.93,102973.76,28238.31,24685.74,28975.82,30315.9,30624.99,27685.67,41559.05,34518.8,35199.84,45223.11,78621.96,131503.08,30943.08,33260.99,49668.13,48729.61,47798.66,46604.51,46687.24,50370.63,46457.26,67777.57,111074.33,135796.67,45727.43,45097.66,58080.47,46354.83
tools & home improvement,44233.57,43013.6,41140.6,45272.04,48177.9,51424.96,68042.35,63749.82,54295.31,63632.01,93458.83,77898.66,68464.97,57336.92,65084,69453.35,78425.47,69859.34,86870.28,79816.18,72597.11,75248.69,101673.7,90929.58,75560.39,62283.11,73595.29,78138.14,84675.04,88605.28,117234.53,88822.78,95111.02,98582.96,121112.58,111711.83,102365.92,107342.67,117766.49,121499.73,140647.78,146581.02,150466.44,152893.43,135301.61,174360.81,189157.62,159172.36,147563.66,127342.07,147096.08,134873.34
software & mobile apps,10448.18,9524.52,11676.48,9230.07,8152.24,7284.89,13003.94,20458.76,10129.13,14048.71,29459.34,29512.25,17980.66,13382.14,14332.09,9188.39,8208.08,12139.32,16863.93,16412.5,10371.89,12105.41,32147.74,22538.12,11174.78,9408.24,10110.97,6417.69,9246.36,13150.86,12810.21,8397.07,9796.83,6051.24,17832.39,18409.44,7130.32,4985.49,8493.2,8475.59,5636.96,6567.59,8477.08,6585.57,11082.08,6869.87,16678.45,15811.21,1733.7,1263.85,5668.95,5200.47
shoes,22571.04,20222.86,25192.19,24996.19,25771.78,22706.3,23227.94,22903.13,25812.53,26068.12,29505.1,33340.67,26787.69,24939.88,27027.85,29566.94,32001.25,29536.98,32563.82,29196.2,26170.96,32633.02,35249.73,39567.7,29755.5,27547.47,29691.6,35841.05,32652.72,35000.1,42921.37,37969.42,35789.55,42651.69,43095.8,46807.31,35449.91,30521.74,23650.79,26781.02,31479.67,37280.21,30866.44,32757.05,29731.86,39458.91,44423.98,48566.94,30967.59,35359.04,42167.19,40388.8
sports & outdoors,30904.39,31569.17,38126.19,37991.18,51021.13,48567.96,54972.42,46940.25,41886.16,38416.76,47869.16,65856.63,41763.67,37181.57,45079.62,39317.47,66051.74,66701.12,67675.12,61997.75,53711.63,52840.58,59440.66,80874.23,57875.85,38042.75,46680.45,56455.96,65499.7,74132.65,81474.85,66851.31,60540.09,58762.92,69790.99,109464.38,58472.28,57397.3,92647.13,91191.27,108523.39,129271.21,125377.58,127342.62,103606.97,100923.2,116303.79,135381.09,102832.53,85421.92,116823.86,116703.92
books,50048.25,27238.08,32321.39,27235.25,30624.64,28364.35,31864.82,47540.65,35846.58,32636.95,42141.78,63592.42,56282.17,33881.09,34040.77,31721.47,32263.73,33228.82,39062.82,48433.66,35401.21,37398.61,42184.02,68060.7,48872.17,29506.34,35018.65,33910.85,33401.97,34181.83,39301.12,47078.65,39904.04,38047.59,39474.51,73351.37,51053.85,34767.79,36171.39,39720.42,45830.82,44843.82,46009.25,51273.49,41918.68,41194.55,56291.55,82830.76,53001.78,41470.17,49325.06,37785.58
grocery & gourmet food,37247.9,33669.4,38467.02,33465.96,39678.27,35529.86,41745.93,44135.09,45589.02,46916.58,46380.6,51086.37,46058.63,42125.86,44146.61,41601.8,44857.74,44941.37,47006.69,43535.45,45169.39,51368.69,50150.58,54295.44,55152.3,48178.13,53485.42,55070.55,59331.22,57238.03,66437.32,62825.02,63044.18,69269.64,80295.66,80570.48,74231.28,81952.44,114881.29,109975,106435.48,110950.96,115546.9,97212.55,92869.1,101869.69,105669.38,120326.44,112650.07,101188.18,104269.72,106436.53
flowers & gifts,0,0,0,5.99,0,0,5.99,0,0,0,58.73,46.94,0,35.02,38.97,12.99,25.99,14.99,0,0,0,0,33.99,8.99,0,39.99,39.99,34.95,0,37.78,23.61,0,0,0,0,9.98,14.89,0,0,0,12.99,24.78,0,28.12,0,0,0,36.99,0,119.88,0,0
automotive,16432.78,15223.56,18106.93,16982.72,18744.69,19353.22,20112.1,24889.72,19829.23,17501.05,19889.66,21369.21,20891.23,20434.87,22972.91,24685.2,22646.91,23398.61,28964.85,25524,25211.82,27647.04,25544.31,31224.64,23969.23,22885.46,32589.45,33174.67,34496.87,33901.71,37755.51,32201.3,31669.04,32981.07,32813.38,38751.55,29242.63,35320.27,33116.36,28355.99,42765.11,49313.46,42614.37,43596.37,43381.78,41121,42309.21,41959.69,45672.53,37205.2,55578.26,53298.7
office products,18330.2,16812.57,17161.78,17990.57,18247.63,17134.02,20821.87,24698.13,19663.61,22143.06,21964.74,25754.46,27935.53,21363.84,26570.06,21775.17,24441.6,26636.12,26747.68,35046.78,28697.75,36736.74,36604.77,35198.08,37356.82,27327.54,29436.09,31656.78,33102.27,31168.23,35917.73,45477.88,43383.66,40030.16,34621.5,41787.25,41995.4,38732.46,46094.26,47058.1,45729.67,49512.64,53956.83,67653.51,56036.61,46574.51,54322.03,58093.29,57590.24,45972.72,53305.22,47836.32
movies & tv,3089,2540.3,2579.31,2851.39,2243.5,2331.2,2366.31,2621.01,2181.95,2433.75,5785.12,7679.81,3123.69,2794.13,2621.46,3660.67,2461.99,1781.9,4711.89,1604.47,1247.66,1673.54,4334.65,5175.47,1939.87,2280.47,2253.49,2019.44,2078.84,1888.91,3693.6,2182.84,1898.79,1405.58,2956.14,4766.55,1868.33,1776.27,2234.65,2521.76,2975.89,2571.45,3112.12,2236.28,2589.77,3588.38,3544.91,5324,1796.86,1625.06,2219.52,2303.77